Log start : Tue Dec 13 09:49:51 2011

Current Directory : e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp
09:49:55:290   [ZFileTransfer] Download file : ./HanReportForClient.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\HanReportForClient.dll_
09:49:55:306   [ZFileTransfer] ERROR : Server error.
09:49:55:306   [ZFileTransfer] ERROR : Failed download : ./HanReportForClient.dll
09:49:55:306   [ZUpdate] ERROR : Fail to download file '.\PATCH\HanReportForClient.dll_'
09:49:55:306   [ZFileTransfer] Download file : ./model.mrs  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\model.mrs_
09:50:04:822   [APP] Update canceled...
09:50:04:822   [ZUpdate] Stop update.
09:50:04:822   [ZUpdate] Stop update successfully complete.
09:50:04:978   [ZFileTransfer] Stop download.
09:50:04:978   [ZUpdate] WARNNING : Retry patch file : .\PATCH\model.mrs_ , 1 retry
09:50:04:978   [ZUpdate] Patch files STOP!!!
09:50:04:978   [ZUpdate] ERROR : Start update FAILED!!!
09:50:04:978   [APP] ERROR - Update fail
09:50:05:088   [ZUpdate] Destroy.
09:50:05:088   [ZFileTransfer] Destroy.
09:50:05:088   [ZFileTransfer] Close connection.
09:50:05:088   [ZFileTransfer] Close connection successfully complete.
09:50:05:088   [ZFileTransfer] Destroy successfly complete.
09:50:05:088   [ZUpdate] Destroy successfully complete.
